W8BUG5	GO:0005789; GO:0006810; GO:0016021
B1PKA1	GO:0005634; GO:0006355; GO:0043565
W8AW86	GO:0004352; GO:0006520
W8BTM2	GO:0000166
W8BJS3	GO:0006511; GO:0008270; GO:0016579; GO:0036459
W8B979	GO:0005634; GO:0006334
W8C8K4	GO:0003840; GO:0006749
W8B4L5	GO:0003777; GO:0005524; GO:0007018; GO:0016887; GO:0030286
W8C7Z7	GO:0005623; GO:0006662; GO:0015035; GO:0045454
W8BN73	GO:0006270; GO:0051301
W8C7Z2	GO:0005215; GO:0005622
W8B964	GO:0015293; GO:0016021
W8AI30	GO:0016301
W8AVT7	GO:0016021
W8BC47	GO:0003677
C8CHV1	GO:0005739; GO:0008137; GO:0016021; GO:0042773
W8BCL9	GO:0016021
W8BVF7	GO:0003735; GO:0005840; GO:0006412
W8BBQ6	GO:0008270
W8BMC6	GO:0004329; GO:0004488; GO:0005524; GO:0009396
W8B6A0	GO:0000166; GO:0003723
W8AMY7	GO:0004674; GO:0005524
W8AWQ2	GO:0005623; GO:0045454
W8BQ94	GO:0005965; GO:0016740; GO:0018343; GO:0042127
W8BF28	GO:0008234
W8BQP9	GO:0003713; GO:0006355
W8ALN0	GO:0005089; GO:0035023
W8B0I3	GO:0004714; GO:0005524; GO:0016021
W8AGN0	GO:0015293; GO:0016021
W8B8T2	GO:0004345; GO:0006006; GO:0006098; GO:0050661
W8BFY8	GO:0005085; GO:0005622; GO:0007264
W8BQM2	GO:0000077; GO:0000723; GO:0004674; GO:0005524; GO:0006281; GO:0010212; GO:0016572; GO:0090399
W8ASJ3	GO:0004674; GO:0005524
W8BH86	GO:0016021
C1IR28	GO:0005739; GO:0016021
C1IRL6	GO:0005739; GO:0008137; GO:0016021; GO:0042773
W8ARP1	GO:0005254; GO:0005886; GO:0034707
W8BCA9	GO:0016301
W8C0F1	GO:0005739; GO:0008137
W8AK44	GO:0016021; GO:0055085
W8AX35	GO:0000166; GO:0003676
W8BKA5	GO:0016021
W8AD05	GO:0004181; GO:0008270
W8CD23	GO:0016021
W8AQJ5	GO:0005319; GO:0016021
W8B5M8	GO:0003700; GO:0005634; GO:0043565
W8AKJ3	GO:0005634; GO:0008270
W8BT01	GO:0000045; GO:0000407; GO:0032266; GO:0080025
W8CB81	GO:0007165
W8B804	GO:0005615
W8AR14	GO:0005391; GO:0005524; GO:0016021; GO:0046872
W8AMV1	GO:0006885; GO:0015385; GO:0016021
W8B3M1	GO:0000502
W8AYI0	GO:0003878; GO:0005524; GO:0005737; GO:0006085; GO:0006101; GO:0006629; GO:0046872; GO:0048037
O62607	GO:0007275; GO:0042600
W8BQ04	GO:0016491
W8C898	GO:0003676; GO:0005634; GO:0008270
W8BMH4	GO:0004322; GO:0005623; GO:0006826; GO:0006879; GO:0008199
W8BN78	GO:0005634; GO:0006355; GO:0043565
W8C3N7	GO:0004725
W8BIN4	GO:0016021
W8BP53	GO:0010508
W8B428	GO:0008152; GO:0016747
W8BNC4	GO:0016740
W8AVN5	GO:0001164; GO:0001187; GO:0070860
W8B802	GO:0003777; GO:0005524; GO:0005874; GO:0007018
W8BME5	GO:0051276
W8BQ08	GO:0003677; GO:0003700; GO:0005634; GO:0005737; GO:0006357
W8AWI8	GO:0016021
W8BN28	GO:0016021
W8C8P0	GO:0008270; GO:0008745; GO:0009253; GO:0045087
W8ADF2	GO:0016021
W8B2D5	GO:0016021
W8BST2	GO:0042302
W8B9S3	GO:0016021
W8B9F1	GO:0000145; GO:0006904
W8B9F4	GO:0035091
W8BH99	GO:0005388; GO:0005524; GO:0016021; GO:0046872
W8AP69	GO:0016180; GO:0032039
W8C1Q0	GO:0004252
W8AL19	GO:0007275; GO:0009966; GO:0016021
W8BC94	GO:0005622; GO:0035556
W8BM72	GO:0004672; GO:0005524
W8B683	GO:0005615
W8ANM4	GO:0005615; GO:0010506
W8C8R8	GO:0003677
W8C4G5	GO:0005737; GO:0042325
W8AWJ4	GO:0003676; GO:0005634; GO:0008270
W8BLL6	GO:0016021
W8AX60	GO:0005634
W8B231	GO:0003743
W8B5W5	GO:0008270
W8B768	GO:0005215; GO:0016021
W8BD13	GO:0015889; GO:0031419
W8BGX0	GO:0008270; GO:0008745; GO:0009253; GO:0045087
W8BUC3	GO:0003924; GO:0004871; GO:0007186; GO:0019001
W8AIL9	GO:0005525; GO:0005622; GO:0007264
W8AU70	GO:0016021
W8BMQ3	GO:0006511; GO:0016579; GO:0036459
W8CBT8	GO:0005509; GO:0006457; GO:0016853
W8B914	GO:0016874
W8CAA4	GO:0005739; GO:0006464; GO:0009107; GO:0016415; GO:0033819
G9BX58	GO:0005956; GO:0016301; GO:0019887
W8B0V8	GO:0016021
W8BRJ1	GO:0003824; GO:0030151; GO:0030170
W8ASQ3	GO:0008233
W8BLR7	GO:0005634; GO:0006351; GO:0006355
W8AXH9	GO:0003700; GO:0005634; GO:0006357; GO:0043565
W8C9A2	GO:0004818; GO:0004827; GO:0005524; GO:0005737; GO:0006424; GO:0006433
W8AHL7	GO:0005509
W8BPB7	GO:0016301
W8AY19	GO:0030246
W8B9G9	GO:0003677
W8C982	GO:0046872
W8BGZ1	GO:0004672; GO:0005524
W8ACW7	GO:0005509; GO:0005886; GO:0007156
W8AUM0	GO:0005509
W8BL67	GO:0004198; GO:0005622
W8B6X1	GO:0016021; GO:0016740
W8AQ53	GO:0005615
W8BHS2	GO:0005388; GO:0005524; GO:0016021; GO:0046872
W8B456	GO:0004672; GO:0005524
W8BPK0	GO:0005622; GO:0006915; GO:0035329; GO:0042127
W8B973	GO:0003924; GO:0005525
W8BYR2	GO:0016740
W8BTY0	GO:0016021
W8BHE9	GO:0001104; GO:0016592
W8B1E2	GO:0004329; GO:0004488; GO:0005524; GO:0009396
W8AEG4	GO:0008237; GO:0016021; GO:0016805; GO:0031225; GO:0046872
W8BWE4	GO:0004252
W8BF55	GO:0004252
W8BQ14	GO:0016787
W8BUQ3	GO:0016021
W8C758	GO:0016301; GO:0016773
W8BBT6	GO:0005198; GO:0006886; GO:0016192; GO:0030130; GO:0030132
W8BA92	GO:0005524
W8C8N5	GO:0005634; GO:0006351; GO:0006355; GO:0032041
W8BM84	GO:0016757
W8AZF0	GO:0004713; GO:0005509; GO:0005524; GO:0007156; GO:0016021
W8BIJ5	GO:0016021
W8B8N3	GO:0005634; GO:0006355; GO:0043565
W8CCG7	GO:0016021
W8C388	GO:0006633; GO:0016021; GO:0016717
W8AEX7	GO:0003676
W8AL09	GO:0004452; GO:0008299; GO:0016787
W8BEV4	GO:0016021
W8BFT9	GO:0008270
W8BRU4	GO:0005524; GO:0005737; GO:0008233; GO:0030163
W8C4R9	GO:0000049; GO:0002098; GO:0005737; GO:0016779; GO:0032447; GO:0034227
W8BIM4	GO:0008270
W8AMR4	GO:0004252
Q9TEM1	GO:0004129; GO:0005507; GO:0005743; GO:0016021; GO:0022900; GO:0070469
W8C4E4	GO:0003676; GO:0008270
W8BB40	GO:0005509; GO:0005783; GO:0006457; GO:0016021
W8C9T4	GO:0000166; GO:0003723; GO:0046872
W8CDT4	GO:0005634; GO:0006334
W8BWP3	GO:0000166; GO:0004383; GO:0005622; GO:0020037; GO:0035556
W8BQF4	GO:0004013; GO:0006730
W8BP92	GO:0005622; GO:0006886
W8C7X1	GO:0000836; GO:0008270; GO:0016021; GO:0016874; GO:0030433; GO:0061630
W8AXS4	GO:0005524; GO:0006810; GO:0016021; GO:0016887
W8BZ50	GO:0005840
W8AVC4	GO:0000166; GO:0003676; GO:0019013; GO:0030529
W8BN84	GO:0003924; GO:0005525; GO:0016021
W8BSD7	GO:0004252; GO:0016021
W8BV06	GO:0006457; GO:0016853
C1IRN2	GO:0004129; GO:0005506; GO:0005743; GO:0006119; GO:0009060; GO:0016021; GO:0020037; GO:0070469
W8C095	GO:0005838; GO:0006508
C8CHT6	GO:0005739; GO:0008137; GO:0016021; GO:0042773
W8BIC4	GO:0016021; GO:0055085
W8AQT7	GO:0005634; GO:0006397
W8BN59	GO:0004613; GO:0005525; GO:0006094; GO:0016301
W8BHG2	GO:0005242; GO:0016021
W8AQE1	GO:0006351; GO:0016538; GO:0070985
W8B1F6	GO:0016021
W8BRC2	GO:0004674; GO:0005524
W8C735	GO:0008654; GO:0016021; GO:0016780
