A4IHU6	GO:0003755; GO:0005789; GO:0005528; GO:0032474; GO:0042384; GO:0061077; GO:0061371; GO:0000413
A4IHU7	GO:0004725; GO:0005737; GO:0006470; GO:0016791; GO:0008138; GO:0016311; GO:0035335; GO:0016787; GO:0004721
A4IHW3	GO:0015992; GO:0016020; GO:0005351; GO:0016021; GO:0008643; GO:0005794; GO:0000139; GO:0006810
A4IHW6	GO:0005737; GO:0006044; GO:0004342; GO:0005975; GO:0016787; GO:0005634; GO:0016853
A4IHY0	GO:0016491; GO:0055114
A4IHY1	GO:0005737; GO:0070628; GO:0005783; GO:0043248; GO:0080129; GO:0000502; GO:0021930; GO:0005794; GO:0005654; GO:0005634
A4IHY6	GO:0016020; GO:0016021; GO:0005886; GO:0030054; GO:0006898; GO:0001540; GO:0070613
A4IHZ3	GO:0016020; GO:0016021
A4II09	GO:0003743; GO:0001731; GO:0005737; GO:0001732; GO:0016282; GO:0005852; GO:0033290; GO:0006412; GO:0006446; GO:0006413; GO:0016020; GO:0071541; GO:0044822; GO:0005730; GO:0005634
A4II15	GO:0005730; GO:0005634
A4II20	GO:0003677; GO:0003700; GO:0060059; GO:0046872; GO:0006351; GO:0043010; GO:0006355; GO:0048703; GO:0005634; GO:0003676; GO:0032868; GO:0009749; GO:0090090; GO:0071310; GO:0030509; GO:0035914; GO:0035035; GO:0033233; GO:0061418; GO:0044212; GO:0000977; GO:0000976; GO:0043565; GO:0045944; GO:0000122; GO:0030217; GO:0005737; GO:0001077; GO:0045893; GO:0070498; GO:0006366; GO:0042981; GO:0005654; GO:0071480; GO:0000982
A4II29	GO:0007219; GO:0006351; GO:0001569; GO:0007275; GO:0060828; GO:0006355; GO:0002043; GO:0001938; GO:0045581; GO:0000122; GO:0022407; GO:1902367; GO:0002040; GO:0090263; GO:0032525; GO:0045746
A4II32	GO:0030867; GO:0031966; GO:0005737; GO:0005739; GO:0016020; GO:0043231; GO:0016021; GO:0017188; GO:0016740; GO:0008080; GO:0016746; GO:0005783; GO:0031090
A4II40	GO:0005634
A4II46	GO:0035023; GO:0005096; GO:0007165; GO:0005085; GO:0016020; GO:0005089; GO:0035556; GO:0005622; GO:0043547; GO:0004674; GO:0006468; GO:0050885; GO:0042472; GO:0005829; GO:0050728; GO:0030036; GO:0050766; GO:0030336; GO:0032496; GO:0002692; GO:0007420; GO:0043114; GO:0060313; GO:0043314; GO:0005886
