Uniprot,log2FC
A2AA71,-0.651834346
F2Z3U3,-0.652969126
A3KMP2,-0.65346062
A6H6A9-3,-0.662518126
E9PUE8,-0.66408524
D3YVM3,-0.665519539
F6ZFT1,-0.665981586
E9PXX9,-0.666997804
D3Z2J3,-0.668376044
E9QNQ2,-0.67012815
F8WJ05,-0.671438004
F6V6T4,-0.672690066
D3Z0Q6,-0.672877905
E9Q715,-0.673729796
E9PZ00,-0.674179368
E9QJS0,-0.67491404
D3Z730,-0.676185151
E9Q0S6,-0.682065473
F6XZA4,-0.682211997
A2ADF7-2,-0.682606831
E0CX20,-0.687562915
E9QPX3,-0.689073065
A2APT9,-0.689770716
B0R091,-0.68980595
F8VQ95,-0.690473113
E9PV22,-0.691231562
A2CG35,-0.691269886
E9Q5W5,-0.691423758
E9QN70,-0.691554203
E9Q5A3,-0.691946042
E9Q3V6,-0.694020458
F6ZGI7,-0.694850513
E9PX94,-0.697710047
D3Z3C1,-0.698501921
A8DUK4,-0.700265261
E9Q411,-0.702209926
E9PW03,-0.706085335
F6QL70,-0.710224047
D3Z0A5,-0.711338754
A2AKH7,-0.713394846
F8VQJ3,-0.713754699
B1AVI2,-0.715793044
E9PVC5,-0.715909834
F6T2Z7,-0.721743835
A2ACG7,-0.723244723
A0JNY3,-0.723355638
E9QPU1,-0.723505055
D3YTT7,-0.723694852
E9Q9C7,-0.724246585
E0CXD9,-0.726261309
E9Q6P5,-0.727182006
G3X8Y3,-0.727898432
E9Q3T0,-0.728459215
F8WHU5,-0.728588736
D3Z6C3,-0.729627817
D3YTN4,-0.730126441
B1AWE0,-0.731217876
F8WHL2,-0.732178378
E9Q3H6,-0.732639322
E9Q236,-0.732691054
E9PZF0,-0.732703574
E9Q6C1,-0.733301067
E9PWY9,-0.734176142
E9PXB9,-0.735469052
B1B1A8,-0.735640335
B1AX58,-0.737133093
E9QP62,-0.738154537
A2BIN1,-0.740036471
A2AUP3,-0.741626095
B2RXC1,-0.745334504
E9QAT4,-0.746057864
A2AI91,-0.752109505
F8VQ28,-0.754257102
Q3UHH4,-0.756391463
D3YW48,-0.756530118
D6RIR0,-0.75655818
B1B0C7,-0.757007174
E9QMJ1,-0.757942619
G3UXZ5,-0.758613185
E9Q9L1,-0.759222966
A9Q751,-0.760358346
E9Q4M4,-0.76323263
F6WYN6,-0.764370123
D3Z3R1,-0.766405961
D6RFU9,-0.767137815
E9PXU9,-0.768946332
E9QNT8,-0.771044355
D3YTK6,-0.773129405
F7DEU6,-0.776137918
F6XQ00,-0.776520674
B1AWZ5,-0.777216711
Q7TNC9,-0.77737893
E9QJW0,-0.778402585
A2AN37,-0.778753166
F7AGB5,-0.780695661
F7D432,-0.781322521
E9QKR0,-0.785591444
E9Q9F5,-0.786549643
A2ATS4,-0.78747709
D3YXF5,-0.794667556
B1ASP2,-0.796937113
A2A9P8,-0.800278412
E9PYI8,-0.800927653
F7C846,-0.800948965
E9PUD2,-0.800983997
J3QMN4,-0.8104044
G8JL74,-0.810617584
E9PX24,-0.811461962
F8VPN4,-0.812753517
A2AS45,-0.813869042
D3YW52,-0.814135186
A2A841,-0.815522779
E9Q0Z7,-0.817598594
B7ZCU2,-0.817742309
G5E8R3,-0.818860513
B1AYG7,-0.819352076
D3Z3S1,-0.819482363
A2AKU9,-0.824854445
G3X9Q0,-0.826431396
A1BN54,-0.831630257
F7BX26,-0.831741575
A3KGU7,-0.832841546
Q8C178,-0.833050779
E9QMD3,-0.83332932
A2A5V3,-0.834820361
Q3TTF6,-0.837339327
A2AJH3,-0.841389505
F6RBY3,-0.845976101
E9Q5I9,-0.848103516
D3Z7M9,-0.849500348
B1AU25,-0.850753318
E9Q317,-0.850923157
